Match,Team 1,Team 2,Date,Time,Season
Match 24,Royal Challengers Bengaluru,Chennai Super Kings,2023-04-17,7:30 pm,2023
Match 25,Sunrisers Hyderabad,Mumbai Indians,2023-04-18,7:30 pm,2023
Match 26,Rajasthan Royals,Lucknow Super Giants,2023-04-19,7:30 pm,2023
Match 27,Punjab Kings,Royal Challengers Bengaluru,2023-04-20,3:30 pm,2023
Match 28,Delhi Capitals,Kolkata Knight Riders,2023-04-20,7:30 pm,2023
Match 29,Chennai Super Kings,Sunrisers Hyderabad,2023-04-21,7:30 pm,2023
Match 30,Lucknow Super Giants,Gujarat Titans,2023-04-22,3:30 pm,2023
Match 31,Mumbai Indians,Punjab Kings,2023-04-22,7:30 pm,2023
Match 32,Royal Challengers Bengaluru,Rajasthan Royals,2023-04-23,3:30 pm,2023
Match 33,Kolkata Knight Riders,Chennai Super Kings,2023-04-23,7:30 pm,2023
Match 34,Sunrisers Hyderabad,Delhi Capitals,2023-04-24,7:30 pm,2023
Match 35,Gujarat Titans,Mumbai Indians,2023-04-25,7:30 pm,2023
Match 36,Royal Challengers Bengaluru,Kolkata Knight Riders,2023-04-26,7:30 pm,2023
Match 37,Rajasthan Royals,Chennai Super Kings,2023-04-27,7:30 pm,2023
Match 38,Punjab Kings,Lucknow Super Giants,2023-04-28,7:30 pm,2023
Match 39,Kolkata Knight Riders,Gujarat Titans,2023-04-29,3:30 pm,2023
Match 40,Delhi Capitals,Sunrisers Hyderabad,2023-04-29,7:30 pm,2023
Match 41,Chennai Super Kings,Punjab Kings,2023-04-30,3:30 pm,2023
Match 42,Mumbai Indians,Rajasthan Royals,2023-04-30,7:30 pm,2023
Match 43,Lucknow Super Giants,Royal Challengers Bengaluru,2023-05-01,7:30 pm,2023
Match 44,Gujarat Titans,Delhi Capitals,2023-05-02,7:30 pm,2023
Match 45,Lucknow Super Giants,Chennai Super Kings,2023-05-03,3:30 pm,2023
Match 46,Punjab Kings,Mumbai Indians,2023-05-03,7:30 pm,2023
Match 47,Sunrisers Hyderabad,Kolkata Knight Riders,2023-05-04,7:30 pm,2023
Match 48,Rajasthan Royals,Gujarat Titans,2023-05-05,7:30 pm,2023
Match 49,Chennai Super Kings,Mumbai Indians,2023-05-06,3:30 pm,2023
Match 50,Delhi Capitals,Royal Challengers Bengaluru,2023-05-06,7:30 pm,2023
Match 51,Gujarat Titans,Lucknow Super Giants,2023-05-07,3:30 pm,2023
Match 52,Rajasthan Royals,Sunrisers Hyderabad,2023-05-07,7:30 pm,2023
Match 53,Kolkata Knight Riders,Punjab Kings,2023-05-08,7:30 pm,2023
Match 54,Mumbai Indians,Royal Challengers Bengaluru,2023-05-09,7:30 pm,2023
Match 55,Chennai Super Kings,Delhi Capitals,2023-05-10,7:30 pm,2023
Match 56,Kolkata Knight Riders,Rajasthan Royals,2023-05-11,7:30 pm,2023
Match 57,Mumbai Indians,Gujarat Titans,2023-05-12,7:30 pm,2023
Match 58,Sunrisers Hyderabad,Lucknow Super Giants,2023-05-13,3:30 pm,2023
Match 59,Delhi Capitals,Punjab Kings,2023-05-13,7:30 pm,2023
Match 60,Rajasthan Royals,Royal Challengers Bengaluru,2023-05-14,3:30 pm,2023
Match 61,Chennai Super Kings,Kolkata Knight Riders,2023-05-14,7:30 pm,2023
Match 62,Gujarat Titans,Sunrisers Hyderabad,2023-05-15,7:30 pm,2023
Match 63,Lucknow Super Giants,Mumbai Indians,2023-05-16,7:30 pm,2023
Match 64,Punjab Kings,Delhi Capitals,2023-05-17,7:30 pm,2023
Match 65,Sunrisers Hyderabad,Royal Challengers Bengaluru,2023-05-18,7:30 pm,2023
Match 66,Punjab Kings,Rajasthan Royals,2023-05-19,7:30 pm,2023
Match 67,Delhi Capitals,Chennai Super Kings,2023-05-20,3:30 pm,2023
Match 68,Kolkata Knight Riders,Lucknow Super Giants,2023-05-20,7:30 pm,2023
Match 69,Mumbai Indians,Sunrisers Hyderabad,2023-05-21,3:30 pm,2023
Match 70,Royal Challengers Bengaluru,Gujarat Titans,2023-05-21,7:30 pm,2023
Qualifier 1,Gujarat Titans,Chennai Super Kings,2023-05-23,7:30 pm,2023
Eliminator,Lucknow Super Giants,Mumbai Indians,2023-05-24,7:30 pm,2023
Qualifier 2,Gujarat Titans,Mumbai Indians,2023-05-26,7:30 pm,2023
Final,Chennai Super Kings,Gujarat Titans,2023-05-29,7:30 pm,2023
Match 1,Chennai Super Kings,Royal Challengers Bengaluru,2024-03-22,8:00 pm,2024
Match 2,Punjab Kings,Delhi Capitals,2024-03-23,3:30 pm,2024
Match 3,Kolkata Knight Riders,Sunrisers Hyderabad,2024-03-23,7:30 pm,2024
Match 4,Rajasthan Royals,Lucknow Super Giants,2024-03-24,3:30 pm,2024
Match 5,Gujarat Titans,Mumbai Indians,2024-03-24,7:30 pm,2024
Match 6,Royal Challengers Bengaluru,Punjab Kings,2024-03-25,7:30 pm,2024
Match 7,Chennai Super Kings,Gujarat Titans,2024-03-26,7:30 pm,2024
Match 8,Sunrisers Hyderabad,Mumbai Indians,2024-03-27,7:30 pm,2024
Match 9,Rajasthan Royals,Delhi Capitals,2024-03-28,7:30 pm,2024
Match 10,Royal Challengers Bengaluru,Kolkata Knight Riders,2024-03-29,7:30 pm,2024
Match 11,Lucknow Super Giants,Punjab Kings,2024-03-30,7:30 pm,2024
Match 12,Gujarat Titans,Sunrisers Hyderabad,2024-03-31,3:30 pm,2024
Match 13,Delhi Capitals,Chennai Super Kings,2024-03-31,7:30 pm,2024
Match 14,Mumbai Indians,Rajasthan Royals,2024-04-01,7:30 pm,2024
Match 15,Royal Challengers Bengaluru,Lucknow Super Giants,2024-04-02,7:30 pm,2024
Match 16,Delhi Capitals,Kolkata Knight Riders,2024-04-03,7:30 pm,2024
Match 17,Gujarat Titans,Punjab Kings,2024-04-04,7:30 pm,2024
Match 18,Sunrisers Hyderabad,Chennai Super Kings,2024-04-05,7:30 pm,2024
Match 19,Rajasthan Royals,Royal Challengers Bengaluru,2024-04-06,7:30 pm,2024
Match 20,Mumbai Indians,Delhi Capitals,2024-04-07,3:30 pm,2024
Match 21,Lucknow Super Giants,Gujarat Titans,2024-04-07,7:30 pm,2024
Match 22,Chennai Super Kings,Kolkata Knight Riders,2024-04-08,7:30 pm,2024
Match 23,Punjab Kings,Sunrisers Hyderabad,2024-04-09,7:30 pm,2024
Match 24,Rajasthan Royals,Gujarat Titans,2024-04-10,7:30 pm,2024
Match 25,Mumbai Indians,Royal Challengers Bengaluru,2024-04-11,7:30 pm,2024
Match 26,Lucknow Super Giants,Delhi Capitals,2024-04-12,7:30 pm,2024
Match 27,Punjab Kings,Rajasthan Royals,2024-04-13,7:30 pm,2024
Match 28,Kolkata Knight Riders,Lucknow Super Giants,2024-04-14,3:30 pm,2024
Match 29,Mumbai Indians,Chennai Super Kings,2024-04-14,7:30 pm,2024
Match 30,Royal Challengers Bengaluru,Sunrisers Hyderabad,2024-04-15,7:30 pm,2024
Match 31,Kolkata Knight Riders,Rajasthan Royals,2024-04-16,7:30 pm,2024
Match 32,Gujarat Titans,Delhi Capitals,2024-04-17,7:30 pm,2024
Match 33,Punjab Kings,Mumbai Indians,2024-04-18,7:30 pm,2024
Match 34,Lucknow Super Giants,Chennai Super Kings,2024-04-19,7:30 pm,2024
Match 35,Delhi Capitals,Sunrisers Hyderabad,2024-04-20,7:30 pm,2024
Match 36,Kolkata Knight Riders,Royal Challengers Bengaluru,2024-04-21,3:30 pm,2024
Match 37,Punjab Kings,Gujarat Titans,2024-04-21,7:30 pm,2024
Match 38,Rajasthan Royals,Mumbai Indians,2024-04-22,7:30 pm,2024
Match 39,Chennai Super Kings,Lucknow Super Giants,2024-04-23,7:30 pm,2024
Match 40,Delhi Capitals,Gujarat Titans,2024-04-24,7:30 pm,2024
Match 41,Sunrisers Hyderabad,Royal Challengers Bengaluru,2024-04-25,7:30 pm,2024
Match 42,Kolkata Knight Riders,Punjab Kings,2024-04-26,7:30 pm,2024
Match 43,Delhi Capitals,Mumbai Indians,2024-04-27,3:30 pm,2024
Match 44,Lucknow Super Giants,Rajasthan Royals,2024-04-27,7:30 pm,2024
Match 45,Gujarat Titans,Royal Challengers Bengaluru,2024-04-28,3:30 pm,2024
Match 46,Chennai Super Kings,Sunrisers Hyderabad,2024-04-28,7:30 pm,2024
Match 47,Kolkata Knight Riders,Delhi Capitals,2024-04-29,7:30 pm,2024
Match 48,Lucknow Super Giants,Mumbai Indians,2024-04-30,7:30 pm,2024
Match 49,Chennai Super Kings,Punjab Kings,2024-05-01,7:30 pm,2024
Match 50,Sunrisers Hyderabad,Rajasthan Royals,2024-05-02,7:30 pm,2024
Match 51,Mumbai Indians,Kolkata Knight Riders,2024-05-03,7:30 pm,2024
Match 52,Royal Challengers Bengaluru,Gujarat Titans,2024-05-04,7:30 pm,2024
Match 53,Punjab Kings,Chennai Super Kings,2024-05-05,3:30 pm,2024
